data_path, num_vehicle, fheu1, fheu2, fheu3, fheu4, fheu5, fheu6, carbon_heu1, reject_heu1, carbon_heu2, reject_heu2, carbon_heu3, reject_heu3, carbon_heu4, reject_heu4, carbon_heu5, reject_heu5, carbon_heu6, reject_heu6
h100c101.csv,3,  0.2800976013844596,0.33744708435115384,0.28042855299817415,0.32626918805629984,0.2913738555981998,0.3188374859777167,  989.9800531180655,45, 868.9734389334261,58, 995.6954241333051,45, 1103.399717202296,53, 1013.7301855661526,47, 804.0726784970798,55
h100c101.csv,5,  0.21683152624598392,0.37442856622161136,0.2271144593888767,0.35134914379687654,0.25384612174621474,0.3269762906059228,  1511.902771247846,27, 1137.04035764386,63, 1518.8460623719345,29, 1347.4433242008174,56, 1464.8310557498448,35, 1174.3556576572216,53
h100c101.csv,10,  0.14403233486922562,0.40575675987013465,0.12998825377145112,0.32473749192085444,0.1749482707860433,0.3151171022013606,  2945.787093702477,0, 2122.4654644742864,61, 2658.553863203938,0, 1984.170493971637,46, 2666.8485147964916,9, 1888.6605832262935,45
h100c102.csv,3,  0.18516425205146236,0.2829902318479283,0.25519044646967837,0.2545371566963575,0.21709046023732906,0.2568258174931887,  1231.36530010492,23, 868.9491414516339,47, 730.8309936064695,43, 719.5490016769446,43, 1098.7743090784686,31, 1101.0434679917007,39
h100c102.csv,5,  0.12750291813119258,0.2468002215114093,0.2790910384251496,0.2805283486516099,0.14750975652341733,0.23739377738879125,  1957.8808369048638,4, 1786.7164967673814,30, 1203.799935041848,43, 1229.9286039566923,43, 1691.621779282441,11, 1615.7180166750577,30
h100c102.csv,10,  0.11014490599474107,0.23241651463183632,0.19205884611838825,0.19505637775267634,0.10719340329870639,0.2281083234024418,  2252.7125093887976,0, 2627.2182326259294,21, 2510.5543731932057,14, 2571.860676456761,14, 2192.347602044199,0, 2640.354798836808,20
h100c103.csv,3,  0.11026038871636247,0.1794687000820067,0.19287405366829896,0.19654238089932,0.16469259459680696,0.19567817491501957,  1904.1424899716894,0, 1218.4985348482232,22, 1193.5245565612365,25, 914.9043331921055,29, 1305.292910429223,18, 1241.9503464126442,25
h100c103.csv,5,  0.10474484874807681,0.10651091135132856,0.09866653504178477,0.10467611187526238,0.13754833104465997,0.12827216376052888,  1904.1424899716894,0, 1936.2475040415427,0, 1793.645644218781,0, 1902.8929316237793,0, 1780.5175150343448,8, 2331.842379041235,0
h100c103.csv,10,  0.09310180268649901,0.14820598201158805,0.08769913162330523,0.14710138052057106,0.11497495406064323,0.1545310998306656,  1904.1424899716894,0, 3031.147619842684,0, 1793.645644218781,0, 3008.5560204016506,0, 2351.497919397015,0, 3160.5105886128813,0
h100c104.csv,3,  0.08064469699625985,0.09547914733753551,0.12233704979044535,0.08448387192395243,0.0788893730488755,0.08836240416405276,  1392.694111903514,0, 1648.8777471967046,0, 830.3113758008187,15, 1458.9947679356526,0, 1191.395321734281,2, 1525.975105326792,0
h100c104.csv,5,  0.0766106186233151,0.13274576418432119,0.10671253006849718,0.11911197735651537,0.07833641622757258,0.11954328317365878,  1392.694111903514,0, 2413.1673582828016,0, 1309.9520268983938,7, 2165.320584829725,0, 1424.0671539827633,0, 2173.1612351567874,0
h100c104.csv,10,  0.06809486847332404,0.15517867764618729,0.09089242175632932,0.14675254576924754,0.06962883286344744,0.15479200487587416,  1392.694111903514,0, 3173.755019961328,0, 1858.9556516476737,0, 3001.421560565138,0, 1424.0671539827633,0, 3165.8466870351917,0
h100c105.csv,3,  0.12927744030709007,0.30528518006137684,0.2604736786233424,0.2862587337032486,0.262985008647433,0.2585979831699783,  1719.6019483507469,6, 912.0014685800049,51, 993.0550171664316,41, 1010.8871612030657,46, 1036.4244471211346,41, 1046.155288508852,40
h100c105.csv,5,  0.1236178009760386,0.324357281270344,0.25940613343794405,0.1292680484880968,0.26179183955228175,0.2848468475039459,  2247.231345204083,0, 1126.745039883528,53, 1205.9282295221803,39, 1719.9857566658186,7, 1249.2976594768834,39, 1308.4340126322463,43
h100c105.csv,10,  0.10987690805388045,0.3382049355176761,0.2701403056089897,0.3091467784275241,0.27226082554462155,0.3298448022709511,  2247.231345204083,0, 2057.112536421224,48, 1981.2715746187496,35, 2272.798071890843,40, 2024.6410045734526,35, 2189.8753682557244,45
h100c106.csv,3,  0.16089263481849403,0.16298402704304016,0.24678324598167672,0.18054748917437932,0.22119364884989978,0.2754045767291079,  1496.147298676801,15, 1532.264610109458,15, 1098.5984268806183,37, 1493.6065080026283,19, 1169.6343511345735,31, 1079.9190457429136,43
h100c106.csv,5,  0.13738530037570892,0.28024528640288926,0.24092616998354935,0.17793285618469,0.21529278833113233,0.2311255098002037,  2137.5313319777383,4, 1224.7828534826776,43, 1589.9385232537527,31, 1794.7072963264143,16, 1663.919026806254,25, 1411.7736425180324,31
h100c106.csv,10,  0.11769544595661101,0.32650633771965715,0.21260879749160355,0.28398196722188385,0.19606175843934312,0.3062658271168869,  2407.138133262466,0, 2121.596215543841,45, 2829.598545801282,15, 2264.364868716092,35, 2896.169455914243,11, 2213.8760999866468,40
h100c107.csv,3,  0.16341551889256634,0.23463777621353463,0.24032646484771814,0.23914973234268994,0.2478452564244362,0.2648840267633655,  1197.7458373636964,19, 1145.329976844037,34, 645.1225796761572,41, 1052.2640201449556,36, 945.9536110278682,39, 1069.2195526515065,41
h100c107.csv,5,  0.11945918164269195,0.30885562480453355,0.262881505092351,0.27096960618218474,0.25090775983283564,0.2636714230433658,  1901.6492176306892,3, 1114.925663123521,50, 1089.1177777343157,41, 1236.1502774936098,41, 1321.420588124225,36, 1283.4663544685618,39
h100c107.csv,10,  0.10352982778000133,0.2952912074289742,0.26561421912023125,0.3081298246456923,0.24064903200695803,0.19859542980516237,  2117.4191945473376,0, 2394.415592634201,36, 1989.9516898292616,34, 2150.7502430776644,41, 2188.0988975771097,27, 2542.9934740477315,15
h100c108.csv,3,  0.09082283361245187,0.2238858294445392,0.17283811426067358,0.18510377004502837,0.18436210611276815,0.22906456235318928,  1568.4655074631942,0, 1045.1417691730278,33, 1018.498984486683,23, 1230.3208057069728,23, 961.0348176669125,26, 1134.5759303471025,33
h100c108.csv,5,  0.08627961573834238,0.3035010897172994,0.14431828428170174,0.2619350284662641,0.15411019301620055,0.22682835641503926,  1568.4655074631942,0, 1107.5806737260925,49, 1633.604435483208,11, 1431.8894362001433,37, 1541.6270776815104,14, 1423.6506525897323,30
h100c108.csv,10,  0.07668909599227995,0.28837027155179124,0.11787811763230681,0.2711989212763355,0.14384927926493746,0.27822216034092695,  1568.4655074631942,0, 2455.36444327362,34, 2410.8741822901948,0, 2104.1714832427415,34, 2942.0431924664695,0, 2349.0614341607466,33
h100c109.csv,3,  0.08395975860466678,0.18749291146778832,0.12556396230479028,0.19686666841238284,0.14186148673037055,0.21137450147104003,  1449.9435896074208,0, 1271.5800988274725,23, 1142.5163801656158,12, 1091.4898304824349,27, 1081.9961587314751,16, 1171.0477345150152,29
h100c109.csv,5,  0.0797598513695952,0.2777057639209264,0.10089411425578172,0.23571399306217758,0.10801957795435166,0.2311963697882769,  1449.9435896074208,0, 998.6284517570988,45, 1834.140506561376,0, 1495.1870613932854,31, 1693.6902037817572,3, 1503.0561790681797,30
h100c109.csv,10,  0.07089404427301617,0.2786587707405377,0.0896791014540784,0.1586918150886023,0.10415744074556581,0.1500518163303019,  1449.9435896074208,0, 2560.4887512027026,31, 1834.140506561376,0, 2739.362511904808,5, 2130.2552995475016,0, 2967.6502841965375,1
h100c201.csv,3,  0.09587043374442636,0.12180551253607234,0.09091662380662635,0.09617055312091542,0.07494577015569925,0.08768526654380095,  635.5725895530264,12, 483.6119549552817,19, 549.2281613626299,12, 1158.5235413119183,6, 702.2909766226354,7, 751.7658667625101,9
h100c201.csv,5,  0.08663155046222343,0.1309111327746423,0.11065647760319643,0.11529835983846423,0.07977119982462627,0.1379593817749842,  1044.0281542906496,6, 766.621904703984,18, 939.8970324710167,12, 1025.0257275563054,12, 1190.579664795783,3, 1440.6121489648951,12
h100c201.csv,10,  0.10859665004177192,0.11403159181867578,0.1346307116449884,0.1185563868458405,0.11905247298905182,0.14054050671558985,  2238.4657373617442,0, 2044.3657380190011,3, 1550.5825689246897,12, 1831.5051939036653,6, 2453.9880524092523,0, 1774.4420279624715,11
h100c202.csv,3,  0.06429451269555803,0.099377552884613,0.10489310819396025,0.08376958261489481,0.07546094744062308,0.07051538893295332,  1120.6471391075543,0, 955.5612870575708,9, 879.1235827382452,11, 856.0891745379336,7, 1056.4170669138746,3, 1142.7897603686642,1
h100c202.csv,5,  0.07204056898993035,0.09633126871545512,0.10558952670672245,0.12066216818376244,0.08591548205918433,0.0995736038175095,  1321.1708786405006,0, 1766.6443882077267,0, 1300.9150236949897,7, 1214.1824411933328,11, 1575.6265464369214,0, 1190.5874368808722,7
h100c202.csv,10,  0.06409512067055452,0.12439949455937455,0.11046444879239516,0.13224728104054043,0.08665449564112526,0.12884586914139318,  1321.1708786405006,0, 2462.16151844586,1, 2276.966036458898,0, 2623.925266641254,1, 1786.1795866300602,0, 2655.85598968903,0
h100c203.csv,3,  0.08182080095778949,0.09257361904461137,0.09376481388581445,0.09302649807491215,0.06575823485810439,0.08572826315516797,  1426.1286487543482,0, 1182.1159781876397,5, 944.0184390593087,8, 931.1496658692336,8, 1146.1596748611576,0, 1494.2353370093422,0
