data_path, num_vehicle, fgp, carbon, reject
h100r202.csv, 5, 0.041551476202696544, 697.1857361472667, 0.0
h100r203.csv, 5, 0.03236812168684963, 543.0996635562631, 0.0
h100c108.csv, 5, 0.07591170940344999, 1379.9887353806175, 0.0
100rc205.csv, 5, 0.08539714305224536, 1674.2237511636652, 0.0
h100c102.csv, 5, 0.026535240234730938, 482.38055633724167, 0.0
h100c207.csv, 5, 0.058613470310115275, 1074.9277963172121, 0.0
h100r208.csv, 5, 0.03258373319050712, 546.717375335406, 0.0
h100r108.csv, 5, 0.031941514405757016, 535.9416865480952, 0.0
h100c107.csv, 5, 0.08210209360401301, 1402.5285131701953, 1.0
h100c109.csv, 5, 0.058195484732845075, 1057.927874532767, 0.0
h100r109.csv, 5, 0.07671225962459696, 1287.143035231659, 0.0
