data_path, num_vehicle, carbon_heu1, reject_heu1, carbon_heu2, reject_heu2, carbon_heu3, reject_heu3, carbon_heu4, reject_heu4, carbon_heu5, reject_heu5, carbon_heu6, reject_heu6
h100c101.csv,3,989.9800531180655,45, 868.9734389334261,58, 995.6954241333051,45, 1103.399717202296,53, 1013.7301855661526,47, 804.0726784970798,55
h100c101.csv,5,1511.902771247846,27, 1137.04035764386,63, 1518.8460623719345,29, 1347.4433242008174,56, 1464.8310557498448,35, 1174.3556576572216,53
h100c101.csv,10,2945.787093702477,0, 2122.4654644742864,61, 2658.553863203938,0, 1984.170493971637,46, 2666.8485147964916,9, 1888.6605832262935,45
h100c102.csv,3,1231.36530010492,23, 868.9491414516339,47, 730.8309936064695,43, 719.5490016769446,43, 1098.7743090784686,31, 1101.0434679917007,39
h100c102.csv,5,1957.8808369048638,4, 1786.7164967673814,30, 1203.799935041848,43, 1229.9286039566923,43, 1691.621779282441,11, 1615.7180166750577,30
h100c102.csv,10,2252.7125093887976,0, 2627.2182326259294,21, 2510.5543731932057,14, 2571.860676456761,14, 2192.347602044199,0, 2640.354798836808,20
h100c103.csv,3,1904.1424899716894,0, 1218.4985348482232,22, 1193.5245565612365,25, 914.9043331921055,29, 1305.292910429223,18, 1241.9503464126442,25
h100c103.csv,5,1904.1424899716894,0, 1936.2475040415427,0, 1793.645644218781,0, 1902.8929316237793,0, 1780.5175150343448,8, 2331.842379041235,0
h100c103.csv,10,1904.1424899716894,0, 3031.147619842684,0, 1793.645644218781,0, 3008.5560204016506,0, 2351.497919397015,0, 3160.5105886128813,0
h100c104.csv,3,1392.694111903514,0, 1648.8777471967046,0, 830.3113758008187,15, 1458.9947679356526,0, 1191.395321734281,2, 1525.975105326792,0
h100c104.csv,5,1392.694111903514,0, 2413.1673582828016,0, 1309.9520268983938,7, 2165.320584829725,0, 1424.0671539827633,0, 2173.1612351567874,0
h100c104.csv,10,1392.694111903514,0, 3173.755019961328,0, 1858.9556516476737,0, 3001.421560565138,0, 1424.0671539827633,0, 3165.8466870351917,0
h100c105.csv,3,1719.6019483507469,6, 912.0014685800049,51, 993.0550171664316,41, 1010.8871612030657,46, 1036.4244471211346,41, 1046.155288508852,40
h100c105.csv,5,2247.231345204083,0, 1126.745039883528,53, 1205.9282295221803,39, 1719.9857566658186,7, 1249.2976594768834,39, 1308.4340126322463,43
h100c105.csv,10,2247.231345204083,0, 2057.112536421224,48, 1981.2715746187496,35, 2272.798071890843,40, 2024.6410045734526,35, 2189.8753682557244,45
h100c106.csv,3,1496.147298676801,15, 1532.264610109458,15, 1098.5984268806183,37, 1493.6065080026283,19, 1169.6343511345735,31, 1079.9190457429136,43
h100c106.csv,5,2137.5313319777383,4, 1224.7828534826776,43, 1589.9385232537527,31, 1794.7072963264143,16, 1663.919026806254,25, 1411.7736425180324,31
h100c106.csv,10,2407.138133262466,0, 2121.596215543841,45, 2829.598545801282,15, 2264.364868716092,35, 2896.169455914243,11, 2213.8760999866468,40
h100c107.csv,3,1197.7458373636964,19, 1145.329976844037,34, 645.1225796761572,41, 1052.2640201449556,36, 945.9536110278682,39, 1069.2195526515065,41
