data_path,num_vehicle,fgp,fheu1,fheu2,fheu3,fheu4,fheu5,fheu6,iheu1,iheu2,iheu3,iheu4,iheu5,iheu6
h100c102.csv,3,0.02969309,0.1851642520514623,0.2829902318479283,0.2551904464696783,0.2545371566963575,0.21709046,0.2568258174931887,83.96391895,89.50738004,88.36434124,88.3344774,86.32225041,88.43843278
h100c102.csv,5,0.02653524,0.1275029181311925,0.2468002215114093,0.2790910384251496,0.2805283486516099,0.1475097565234173,0.2373937773887912,79.18852319,89.24829156,90.49226361,90.54097728,82.01119651,88.82226799
h100c102.csv,10,0.024884653,0.110144906,0.2324165146318363,0.1920588461183882,0.1950563777526763,0.1071934032987063,0.2281083234024418,77.40734973,89.29307866,87.04321415,87.24232774,76.78527537,89.09086129
h100c104.csv,3,0.02787922,0.080644697,0.095479147,0.1223370497904453,0.084483872,0.078889373,0.088362404,65.42956805,70.80072364,77.21113911,67.00054169,64.66036043,68.44900231
h100c104.csv,5,0.027581872,0.076610619,0.1327457641843211,0.1067125300684971,0.1191119773565153,0.078336416,0.1195432831736587,63.99732553,79.22203258,74.15310872,76.84374633,64.79048575,76.92729286
h100c104.csv,10,0.023577326,0.068094868,0.1551786776461872,0.090892422,0.1467525457692475,0.069628833,0.1547920048758741,65.37576711,84.80633667,74.06018523,83.93395786,66.13855945,84.76838267
h100c108.csv,3,0.079525218,0.090822834,0.2238858294445392,0.1728381142606735,0.1851037700450283,0.1843621061127681,0.2290645623531892,12.4391803,64.47956631,53.98861072,57.03749439,56.86466202,65.28261868
h100c108.csv,5,0.075911709,0.086279616,0.3035010897172994,0.1443182842817017,0.2619350284662641,0.1541101930162005,0.2268283564150392,12.01663481,74.98799445,47.39979776,71.01887829,50.74192828,66.53341293
h100c108.csv,10,0.070858021,0.076689096,0.2883702715517912,0.1178781176323068,0.2711989212763355,0.1438492792649374,0.2782221603409269,7.603525645,75.42811174,39.88874073,73.87230724,50.74148353,74.53185583
h100c202.csv,3,0.029684163,0.064294513,0.099377553,0.1048931081939602,0.083769583,0.075460947,0.070515389,53.83095411,70.12991142,71.70055918,64.5645088,60.6628805,57.90399298
